wall_time,price,equity,pnl,action,filter_pass,filter_fail_count,symbol,shares
2026-06-22 14:09:28,2742.0,9960.0,-40.0,enter_short,True,0,HEAD,-14.587892049598834
2026-06-22 14:10:48,2744.0,9930.8242159008,-69.17578409919952,hold,True,0,HEAD,-14.587892049598834
2026-06-22 14:12:12,2743.0,9945.412107950397,-54.5878920496034,hold,True,0,HEAD,-14.587892049598834
2026-06-22 14:13:33,2745.0,9916.236323851204,-83.76367614879564,hold,True,0,HEAD,-14.587892049598834
2026-06-22 14:15:35,2748.0,9832.38512035011,-167.6148796498892,close_stop_loss,False,1,,0.0
2026-06-22 14:16:55,2747.0,9832.38512035011,-167.6148796498892,hold,False,2,,0.0
2026-06-22 14:18:15,2748.0,9832.38512035011,-167.6148796498892,hold,False,3,,0.0
2026-06-22 14:19:36,2744.0,9832.38512035011,-167.6148796498892,hold,False,4,,0.0
2026-06-22 14:20:58,2742.0,9832.38512035011,-167.6148796498892,hold,False,5,,0.0
2026-06-22 14:22:21,2741.0,9832.38512035011,-167.6148796498892,hold,False,6,,0.0
2026-06-22 14:23:46,2743.0,9832.38512035011,-167.6148796498892,hold,False,7,,0.0
2026-06-22 14:25:16,2741.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:26:41,2744.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:28:10,2745.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:29:32,2742.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:31:38,2741.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:32:58,2741.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:34:24,2745.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:35:51,2739.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:38:10,2737.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
2026-06-22 14:39:30,2736.0,9832.38512035011,-167.6148796498892,hold,True,0,,0.0
